sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7549832421943905,7.810249675906654,0.663428748579105,0.9998738101230629,9.677,7.33
P13_T2.nii.gz,0.8237335834896811,2.0,0.8551811453058045,0.9996850541773382,10.268,11.052
P26_T1.nii.gz,0.8138616987685506,8.18535277187245,0.7764723602952252,0.9998788532867561,6.639,6.029
P2_T1.nii.gz,0.8653613729755861,1.4142135623730951,0.7916850950906679,0.9999880866147437,2.261,1.876
P2_T2.nii.gz,0.7758444216990789,26.153393661244042,0.6920267802799757,0.9999581586827799,3.286,2.576
P2_T3.nii.gz,0.8160965794768612,1.4142135623730951,0.7731605032405643,0.999955807436237,2.623,2.347
P2_T4.nii.gz,0.8023727755229473,12.884098726725126,0.8741496598639455,0.9998758674730108,2.94,3.466
P47_T1.nii.gz,0.8362279813227265,1.0,0.9032877882152007,0.9993311854997351,18.736,21.741
P49_T1.nii.gz,0.8541934664189178,6.708203932499369,0.7748134489613645,0.9998100558519287,34.709,28.258
P49_T2.nii.gz,0.6217021585871066,5.830951894845301,0.5509467989179441,0.9997616891869692,7.763,5.996
P52_T1.nii.gz,0.8183983328371539,1.4142135623730951,0.8315184513006655,0.9999081428139556,3.306,3.412
P52_T2.nii.gz,0.6919924337957125,40.27406113120453,0.7720717551881815,0.9998190681900959,2.843,3.501
