sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7524594825135058,8.246211251235321,0.6836829595949158,0.9998208381087882,9.677,7.908
P13_T2.nii.gz,0.8206909500563274,2.23606797749979,0.8513829372808727,0.9996818645014592,10.268,11.036
P26_T1.nii.gz,0.8278068190684248,3.4641016151377544,0.7990661244163277,0.9998789918985561,6.639,6.178
P2_T1.nii.gz,0.8552248825240546,1.0,0.8452012383900929,0.9999588572625451,2.261,2.208
P2_T2.nii.gz,0.7880497925311203,26.19160170741759,0.7224589166159464,0.9999494301960751,3.286,2.739
P2_T3.nii.gz,0.8247217806041336,1.4142135623730951,0.7910789172703012,0.9999537294159974,2.623,2.409
P2_T4.nii.gz,0.7830704357332501,11.224972160321824,0.8527210884353742,0.9998675550270071,2.94,3.463
P47_T1.nii.gz,0.8386856233843707,1.0,0.9004590093936806,0.9993578436654089,18.736,21.496
P49_T1.nii.gz,0.8599248108473723,2.8284271247461903,0.7875190872684318,0.9997870955702938,34.709,28.864
P49_T2.nii.gz,0.5278671643712189,57.62811813689564,0.5282751513590107,0.9994906608917538,7.763,7.775
P52_T1.nii.gz,0.8092760517318269,1.4142135623730951,0.82335148215366,0.9999031550934463,3.306,3.421
P52_T2.nii.gz,0.706003835373949,38.41874542459709,0.8417164966584594,0.9997862344696156,2.843,3.936
