sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7556147256309331,8.94427190999916,0.6744858943887568,0.9998513455515642,9.677,7.599
P13_T2.nii.gz,0.8174106926469875,2.449489742783178,0.8211920529801324,0.9997322059077235,10.268,10.363
P26_T1.nii.gz,0.8257343097881723,2.449489742783178,0.7897273685796053,0.9998867541593589,6.639,6.06
P2_T1.nii.gz,0.8294892915980231,10.816653826391969,0.8907563025210085,0.9999195153856522,2.261,2.595
P2_T2.nii.gz,0.7829193050819938,24.08318915758459,0.7337188070602556,0.9999359910974978,3.286,2.873
P2_T3.nii.gz,0.798087141339001,1.0,0.8589401448722837,0.9998933282943652,2.623,3.023
P2_T4.nii.gz,0.8011161060300729,13.19090595827292,0.8789115646258503,0.9998715727092423,2.94,3.511
P47_T1.nii.gz,0.844512965677602,1.4142135623730951,0.891705807002562,0.999427543661077,18.736,20.83
P49_T1.nii.gz,0.8519622931896883,3.3166247903554,0.7655363162292201,0.9998474880686549,34.709,27.667
P49_T2.nii.gz,0.3749889993839655,51.93264869039514,0.5488857400489502,0.9985163453629693,7.763,14.963
P52_T1.nii.gz,0.8119923201890415,1.4142135623730951,0.8315184513006655,0.9999007997809837,3.306,3.465
P52_T2.nii.gz,0.7426232304281085,48.96937818678118,0.7657404150545198,0.9998832117031017,2.843,3.02
