sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7586721801056743,10.677078252031311,0.682546243670559,0.9998433026802869,9.677,7.735
P13_T2.nii.gz,0.8026434908564186,8.12403840463596,0.8634592910011687,0.9995897799456479,10.268,11.824
P26_T1.nii.gz,0.8247180451127819,2.0,0.7930411206507004,0.9998802394047566,6.639,6.129
P2_T1.nii.gz,0.8460072018640119,2.0,0.8832375055285272,0.9999358616584457,2.261,2.46
P2_T2.nii.gz,0.7659071729957806,26.570660511172846,0.6905051734631771,0.999948737459035,3.286,2.639
P2_T3.nii.gz,0.8147560491868306,1.4142135623730951,0.783072817384674,0.9999494348408354,2.623,2.419
P2_T4.nii.gz,0.7918303220738413,14.89966442575134,0.8571428571428571,0.9998746206061103,2.94,3.425
P47_T1.nii.gz,0.8324571651090342,1.4142135623730951,0.9127882152006832,0.999271065782356,18.736,22.352
P49_T1.nii.gz,0.8433773407193371,3.605551275463989,0.7610418047192371,0.9997889045621802,34.709,27.932
P49_T2.nii.gz,0.5722663233926911,53.85164807134504,0.5153935334277985,0.9996923724874256,7.763,6.22
P52_T1.nii.gz,0.8051674928646537,1.4142135623730951,0.8106473079249849,0.9999070344316201,3.306,3.351
P52_T2.nii.gz,0.6740231548480463,41.14608122288197,0.6552937038339782,0.9998861210201063,2.843,2.685
